Metabolite;Volume;Time;GF mice CLZ data;Used for fitting
M1_si3;0.3;5;0.546415668236268858848347917955834418535232543945312500000000;0.546415668236268858848347917955834418535232543945312500000000
M1_si3;0.3;7;8.204689412083283173160452861338853836059570312500000000000000;8.204689412083283173160452861338853836059570312500000000000000
M1_si3;0.3;9;9.457757067382814852862793486565351486206054687500000000000000;9.457757067382814852862793486565351486206054687500000000000000
M1_si3;0.3;12;11.771735101079876528729073470458388328552246093750000000000000;11.771735101079876528729073470458388328552246093750000000000000
M1_cecum;3;0;0.000191033485898231547572834188031265512108802795410156250000;0.000191033485898231547572834188031265512108802795410156250000
M1_cecum;3;0.5;NaN;NaN
M1_cecum;3;1;NaN;NaN
M1_cecum;3;1.5;NaN;NaN
M1_cecum;3;2;NaN;NaN
M1_cecum;3;2.5;NaN;NaN
M1_cecum;3;3;0.040221444671512542046176719168215640820562839508056640625000;0.040221444671512542046176719168215640820562839508056640625000
M1_cecum;3;5;0.076454371205317367410358997403818648308515548706054687500000;0.076454371205317367410358997403818648308515548706054687500000
M1_cecum;3;7;0.157851685733464031091699553144280798733234405517578125000000;0.157851685733464031091699553144280798733234405517578125000000
M1_cecum;3;9;0.477416825755754281601639377186074852943420410156250000000000;0.477416825755754281601639377186074852943420410156250000000000
M1_cecum;3;12;1.010763489379876478579944887314923107624053955078125000000000;1.010763489379876478579944887314923107624053955078125000000000
M1_colon;3;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_colon;3;0.5;NaN;NaN
M1_colon;3;1;NaN;NaN
M1_colon;3;1.5;NaN;NaN
M1_colon;3;2;NaN;NaN
M1_colon;3;2.5;NaN;NaN
M1_colon;3;3;0.034090500849378077563578415265510557219386100769042968750000;0.034090500849378077563578415265510557219386100769042968750000
M1_colon;3;5;0.056883613406974127546522623788405326195061206817626953125000;0.056883613406974127546522623788405326195061206817626953125000
M1_colon;3;7;0.081705963805008594014189782228640979155898094177246093750000;0.081705963805008594014189782228640979155898094177246093750000
M1_colon;3;9;0.261312168330941507754516806016908958554267883300781250000000;0.261312168330941507754516806016908958554267883300781250000000
M1_colon;3;12;0.677919355369403731081945352343609556555747985839843750000000;0.677919355369403731081945352343609556555747985839843750000000
