Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
M1_cecum;0.25;0;0.000196005815144488710396325492624214348325040191411972045898;0.000196005815144488710396325492624214348325040191411972045898
M1_cecum;0.25;0.5;NaN;NaN
M1_cecum;0.25;1;NaN;NaN
M1_cecum;0.25;1.5;NaN;NaN
M1_cecum;0.25;2;NaN;NaN
M1_cecum;0.25;2.5;NaN;NaN
M1_cecum;0.25;3;0.013405227996182806846081625451461150078102946281433105468750;0.013405227996182806846081625451461150078102946281433105468750
M1_cecum;0.25;5;0.006293298189714674646666470181344266165979206562042236328125;0.006293298189714674646666470181344266165979206562042236328125
M1_cecum;0.25;7;0.018489594582857683813248428350561880506575107574462890625000;0.018489594582857683813248428350561880506575107574462890625000
M1_cecum;0.25;9;0.021940880050578887711099085322530299890786409378051757812500;0.021940880050578887711099085322530299890786409378051757812500
M1_cecum;0.25;12;0.004451950678256516580333368438004981726408004760742187500000;0.004451950678256516580333368438004981726408004760742187500000
M1_colon;0.25;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_colon;0.25;0.5;NaN;NaN
M1_colon;0.25;1;NaN;NaN
M1_colon;0.25;1.5;NaN;NaN
M1_colon;0.25;2;NaN;NaN
M1_colon;0.25;2.5;NaN;NaN
M1_colon;0.25;3;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_colon;0.25;5;0.002030251251100972324087345910470503440592437982559204101563;0.002030251251100972324087345910470503440592437982559204101563
M1_colon;0.25;7;0.005965751064235846716499178654657953302375972270965576171875;0.005965751064235846716499178654657953302375972270965576171875
M1_colon;0.25;9;0.006985986709561333753149003911175896064378321170806884765625;0.006985986709561333753149003911175896064378321170806884765625
M1_colon;0.25;12;0.002161166173671431357805605699695661314763128757476806640625;0.002161166173671431357805605699695661314763128757476806640625
M1_feces;0.25;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M1_feces;0.25;0.5;NaN;NaN
M1_feces;0.25;1;NaN;NaN
M1_feces;0.25;1.5;NaN;NaN
M1_feces;0.25;2;NaN;NaN
